"","gender","age","home_lang","english_length_nohome","wear_glasses","employment","annual_income","education","male_model","shade","clear_shade","med_shade","dark_shade","p_glasses","p_shade","p_pupilvis","ads_trust","ads_goalinform","ads_informative","ads_truthful","ads_reliablesource","ads_truepicture","ads_accuratelyinformedby","ads_essentialinfo","recommend","wtb","value_assess","model_familiar","model_nosecret","model_mysterious","model_known","model_natural","model_notweird","model_clear","model_attract","model_classy","model_sexy","model_beautiful","model_elegant","model_warm","product_unsatisfac","product_lowqual","product_bad","product_dislike","product_awful","product_negative","product_unfavorable","product_common","product_useless","product_worthless","product_notunique","product_inexpensive","ad_describe","adrate_bad","adrate_unfavorable","adrate_lowqual","adrate_negative","adrate_unattract","adrate_useless","adrate_awful","adrate_notapprop","adrate_ineffective","adrate_unconvinc","female_clear","male_clear","female_med","female_dark","male_med","male_dark","value_assess_num","phony","approachable","expertise"
"58",1,22,"english","",2,6,1,3,1,1,0,1,0,1,4,4,1,2,4,1,1,1,3,1,2,2,"150",4,1,5,7,5,6,5,4,2,4,4,5,3,6,7,7,1,6,7,5,6,7,7,6,7,"the person at the front is hiding his face and is not trustworthy to me, also his comments are very predictable",7,7,5,7,5,6,7,7,7,7,0,0,0,0,1,0,150,0.451280517702395,-2.16245072936174,-0.37575328516001
"59",2,50,"French","30 years",2,7,2,3,0,2,0,0,1,1,4,4,3,2,2,2,2,3,2,2,5,6,"550",2,5,6,2,3,2,4,6,3,5,4,2,4,4,3,3,3,3,4,4,5,4,4,5,4,"I saw a coach and a chair made of wicker. The cushions and pillows were gray. It seems to be on a patio...there was a fence behind the set. On the right there was a woman, wearing a red plaid shirt. She was wearing sunglasses and I thought she looked odd with those glasses. The ad itself just quickly described the set, telling how stylish it was. It looked like something we would see in a Rona catalog.",3,4,4,3,3,5,3,4,4,3,0,0,0,1,0,0,550,1.03637821576425,0.248477375152847,-1.28129449024584
"60",2,47,"english","",1,1,5,5,1,2,0,0,1,1,5,3,3,4,5,5,4,4,4,5,6,2,"650",3,7,5,4,6,6,6,6,6,4,5,3,6,2,2,1,1,1,1,1,2,1,1,1,3,"a nice set of wicker furniture set on a nice backyard deck. i liked how it was set up on the patio. ",2,2,1,1,1,1,1,1,2,2,0,0,0,0,0,1,650,-1.30360056267678,0.603063750582301,0.681930170729081
"61",1,37,"english","",1,1,4,4,0,1,0,1,0,1,4,4,4,3,3,3,3,4,4,3,5,5,"200",6,4,4,5,5,5,6,5,5,5,5,5,6,3,2,2,3,2,2,2,2,2,2,3,3,"all weather wicker seating is durable ,stylish and comfortable, with plush cushions and pillows",3,3,3,2,3,2,2,2,3,3,0,0,1,0,0,0,200,-0.0463732207602212,0.211634195366221,0.980971227593004
"62",1,30,"English","all my life",2,1,3,5,1,1,0,1,0,1,4,3,4,2,2,2,3,3,2,2,5,3,"700",1,5,3,4,4,2,6,2,2,2,2,2,2,3,4,3,3,2,2,3,6,5,5,6,5,"Attractive setting that leads to thoughts of a relaxing evening relaxing on the patio with friends or family. The guy and his accompanying comment were completely unnecessary and detracted from the overall aesthetic, however.",3,4,2,3,2,3,3,4,5,4,0,0,0,0,1,0,700,1.88712973249021,-1.85426166789487,-1.45413043197283
"63",1,31,"english","all my life",2,1,3,5,0,2,0,0,1,1,5,5,2,2,2,2,2,3,2,2,5,6,"200",5,4,3,4,4,6,6,6,5,6,6,3,6,4,3,3,3,3,2,3,4,5,3,3,4,"It's an advertisement for a wicker patio set. It has a young woman in the foreground with sunglasses on and a quote saying something along the lines of ""it's the right choice, because it's my choice"". Seems like the person and the quote is a bit misplaced from the product. ",4,4,4,3,3,4,3,5,4,4,0,0,0,1,0,0,200,-0.0772792674883186,0.105643606158147,-0.218102683646541
"64",1,32,"English","",1,3,1,3,0,2,0,0,1,1,3,3,3,3,3,3,3,4,3,3,4,3,"199",4,4,4,3,4,4,4,5,4,4,5,4,4,2,2,2,3,3,3,3,3,3,3,4,4,"A patio furniture set with grey cushions being advertised, a woman in a red shirt and sun glasses pictured on the right of the furniture set with what seems like a quote said from her stated above her picture and a couple of sentences related to the patio furniture meant to sell the product. Overall I thought it was a little overboard to sell a patio set.",4,4,4,4,3,4,4,4,4,4,0,0,0,1,0,0,199,0.48657459187277,-0.601291963485951,-0.274016714957548
"65",1,24,"english","",2,1,4,6,0,0,1,0,0,1,1,2,3,4,4,4,3,3,4,4,1,7,"1500",6,7,1,2,6,6,6,4,5,4,4,3,3,4,5,5,4,4,6,7,7,5,5,7,4,"it is a furniture add that says whatever we choose is gonna be the best choice. The add is a little basic and does not give any information about the store or brand it represents. I would not be able to say who the add was for",7,6,7,6,7,7,6,4,7,7,1,0,0,0,0,0,1500,-0.479244612661612,1.16103962857253,-0.858678889053816
"66",2,31,"engish","",2,1,3,4,1,2,0,0,1,1,2,5,3,2,2,3,4,2,3,2,4,4,"199",2,6,1,3,4,2,2,2,2,1,4,1,4,7,7,7,7,7,4,7,4,6,6,4,7,"its weird, and a little confusing. the ad talks about the wicker furniture and how comfortable and plush it is. The guy in the plaid shirt and sunglasses is confusing, almost like it is an ad for the glasses as that mostly what i noticed.",6,7,6,3,6,6,6,4,7,5,0,0,0,0,0,1,199,0.588581144552699,0.829148049659866,-1.41368802746036
"67",2,32,"English","",1,3,2,5,1,0,1,0,0,1,3,3,3,2,2,3,3,3,3,2,5,4,"200",4,5,3,3,4,4,4,5,5,4,4,4,4,3,3,3,2,2,2,3,3,4,4,2,2,"It's an ad for furniture. I found the saying ""It's my choice because it's the right choice"" to be a bit odd.",4,4,4,3,4,4,4,4,4,4,0,1,0,0,0,0,200,0.3546756265923,-0.715156457922069,0.455480215603356
"68",2,66,"English","all my life",1,1,4,5,0,1,0,1,0,1,3,3,3,2,2,3,2,2,2,2,7,1,"550",4,5,3,4,6,7,5,7,6,4,7,5,6,2,2,1,1,1,1,1,3,1,2,3,4,"A picture of patio furniture in outdoor setting. It is wicker with grey cushions. There is also a woman in the foreground that says ""It is my choice, because it is the right choice."" The furniture looks very stylish and comfortable. I would choose it.",1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,550,-0.738370845121718,-0.319921052776772,-0.300618433228397
"69",1,33,"English","",1,1,3,4,0,0,1,0,0,1,1,5,4,4,4,4,5,5,5,5,4,5,"200",7,6,1,6,7,7,7,7,6,7,7,7,7,4,2,2,3,2,2,2,5,3,3,6,4,"Advertisement for a wicker seat set that had gray cushions sitting on a deck and a woman in glasses and a plaid shirt next to it. Ad did not particularly interest me, not in the market for such things.",3,4,3,4,2,3,3,2,5,5,1,0,0,0,0,0,200,-0.8043705704691,0.925289148315651,-0.317584831653711
"70",1,25,"english","",2,2,3,5,0,0,1,0,0,2,1,5,4,2,1,4,4,5,2,2,7,1,"200",7,6,3,6,6,7,7,7,7,7,7,7,6,2,1,1,1,1,1,1,1,2,3,5,1,"The woman is very beautiful and I think they made a good publicity",1,1,1,2,1,3,5,1,5,5,1,0,0,0,0,0,200,-1.28338889423464,1.4633322276302,1.10686745774606
"71",2,59,"english","always",1,1,5,3,1,2,0,0,1,2,1,3,2,2,2,2,2,2,2,2,7,1,"800",4,4,1,1,7,7,7,6,5,5,4,4,6,1,1,1,1,1,1,1,1,1,1,1,1,"an all weather wicker furniture set with comfy cushions and a man stating it is what he wants",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,800,-1.85287333977182,1.6261541523344,1.66942782516989
"72",1,23,"English","",2,4,1,4,0,1,0,1,0,1,4,3,3,1,4,3,5,5,2,4,5,5,"100",2,1,7,6,4,5,4,5,3,7,5,6,6,3,7,7,2,2,4,1,5,1,1,7,5,"An advertisement of a woman with glasses selling whats on the back",4,2,1,7,7,2,5,6,2,2,0,0,1,0,0,0,100,1.09104462647557,-2.07004238894728,1.59462590412225
"73",1,30,"English","",1,1,5,5,1,0,1,0,0,1,1,5,4,2,4,4,4,3,5,1,1,7,"500",6,7,1,5,2,3,4,5,2,1,4,5,6,3,4,3,6,4,2,1,5,3,5,2,5,"Man in his late 20's happy about his decision to go with wicker style patio furniture. Not the most believable considering the style of the gentlemen is more in line with current fashion trends, where the furniture has more a of Victorian style to it. It doesn't really match up",7,5,5,2,6,1,4,3,6,7,0,1,0,0,0,0,500,0.275491894652899,0.811089261280066,-0.47528002132784
"74",2,82,"English","",1,5,2,3,0,0,1,0,0,2,1,2,3,2,2,3,2,3,2,2,7,2,"600",7,7,1,1,7,7,7,6,5,5,6,5,5,1,1,1,1,1,1,1,1,1,1,3,1,"I saw beautiful plus wicker furniture for the patio.  It looks very comfortable.  I feel the ad makes a person want to buy the furniture.  It is an excellent ad.",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,600,-1.74872611808431,0.464684585222748,2.18188871211709
"75",2,35,"english","",2,1,6,4,0,1,0,1,0,1,4,4,1,1,1,1,1,1,1,1,7,1,"500",4,7,1,4,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,"They are advertising durable wicker patio furniture. ",1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,500,-1.79197873637826,1.58149778078528,1.99527997752656
"76",1,25,"ENGLISH","",2,3,2,4,0,2,0,0,1,1,4,4,3,2,5,4,1,2,2,4,4,5,"90",4,2,7,2,6,1,2,6,5,2,6,6,5,2,1,3,4,1,2,1,6,1,1,1,5,"its about an ad stating that if I want style and comfort I should buy this furniture",5,1,2,7,6,4,4,1,6,3,0,0,0,1,0,0,90,0.507272013627153,0.0789949282883969,-0.218515930674727
"77",2,23,"English","",1,2,1,5,1,0,1,0,0,1,1,4,4,5,4,3,4,3,4,2,3,4,"450",5,6,2,5,6,7,5,5,5,5,3,2,4,3,3,3,4,2,3,3,5,3,3,5,5,"The ad showed an outdoor whicker furniture set with a person super-imposed saying that it was their choice. The person saying it's their choice doesn't seem to match very well with the ad for furniture and so I was a little confused. ",4,5,5,3,4,5,3,5,5,5,0,1,0,0,0,0,450,0.00458309656675485,0.0999309512601792,-0.562643585807257
"78",2,37,"english","",2,1,4,5,1,2,0,0,1,1,4,3,2,2,1,1,1,1,1,2,6,2,"750",4,5,3,3,2,4,4,5,3,2,2,2,6,2,1,1,1,1,1,1,2,2,2,2,5,"I thought that the furniture in the add was attractive and appealing but the guy was out of place",3,3,2,1,2,2,2,2,2,2,0,0,0,0,0,1,750,0.305625147545818,0.280063458392769,-0.559752560634813
"79",1,36,"english","",1,1,6,5,0,1,0,1,0,1,5,3,5,3,3,3,3,4,3,4,2,6,"200",3,2,4,2,1,3,3,5,3,4,4,2,1,3,3,3,3,4,4,4,3,3,5,5,4,"advertisement for patio furniture.  Dislike the woman model dressed in plaid and wearing dark sunglasses.  Also caption is rude and nonsensical; its my choice because its the right choice""",6,6,4,6,6,5,6,6,7,7,0,0,1,0,0,0,200,2.65981894503971,-3.25593208309062,-1.16662027501528
"80",2,33,"English","",1,1,4,4,0,0,1,0,0,1,1,1,4,4,2,3,4,3,4,2,4,3,"1300",5,5,4,4,6,6,7,5,4,4,5,5,4,2,2,2,1,2,2,1,5,2,2,4,2,"It appears to be for outdoor wicker furniture, and the model is thinking that it is the right choice because it is her choice..  An odd statement for an ad.",2,2,3,2,2,4,2,3,3,3,1,0,0,0,0,0,1300,-0.846626660517671,0.230836122874713,0.593682427539321
"81",1,23,"Cantonese","entire life",2,1,4,2,0,1,0,1,0,2,1,4,4,1,2,5,5,4,4,4,2,6,"300",5,7,2,4,2,4,4,6,6,5,6,6,4,3,4,3,4,4,3,3,6,4,4,7,4,"Advertisement for furniture, I actually thought it was going to be about abortion when there's ""it's my choice"" and there's a woman looking happy",6,5,6,4,6,5,5,4,7,6,0,0,1,0,0,0,300,0.545172281405764,0.770173485882149,0.453828663024104
"82",1,18,"English","",2,6,5,2,1,1,0,1,0,1,5,5,4,4,4,4,4,2,3,2,5,3,"300",2,3,5,3,3,3,5,5,5,5,6,6,4,2,3,2,2,2,3,2,4,2,3,5,3,"I saw an ad for furniture, with a tagline and some qualities of the piece.",3,3,3,2,3,2,3,1,3,3,0,0,0,0,1,0,300,0.56937123854008,-0.738809789483382,0.530636674411481
"83",1,38,"English","",2,1,5,5,0,1,0,1,0,1,4,3,3,4,3,5,4,4,3,3,3,6,"249",3,4,2,3,2,2,4,5,4,4,5,2,4,4,5,4,6,4,4,4,6,4,4,6,6,"I saw a wicker patio set and there was a woman in the forefront of the advertisement as well. The woman didn't look like she belonged in this ad, she was wearing a red flannel shirt and sunglasses which don't fit the image of someone who is looking for a wicker patio set. ",5,5,6,5,3,5,4,4,6,6,0,0,1,0,0,0,249,0.625408293334146,0.0430117518645723,-0.371990124430112
"84",1,71,"french","55",1,5,4,5,0,0,1,0,0,2,1,3,4,2,2,2,2,2,2,3,6,2,"450",6,7,1,1,7,7,7,6,5,5,6,6,5,2,2,1,1,2,1,2,1,1,2,3,4,"Relaxing outdoor set to spend good moments.  The ad is well tought, simple, easy to understand and not aggressive.  It is already relaxing.",1,1,2,1,1,2,2,1,1,1,1,0,0,0,0,0,450,-1.50354132039385,1.64602666988734,1.71392562421007
"85",2,49,"English","",2,1,7,6,1,0,1,0,0,1,1,1,3,2,2,3,3,3,3,2,5,2,"899.99",4,7,7,1,5,4,6,2,4,1,1,2,4,3,4,3,3,3,3,3,5,2,4,5,5,"The advertisement was a promotion for furniture for sale.  The advertisement showed a seating area and an individual who was commenting that purchasing from the undisclosed company was the right choice.  I thought the advertisement depicted an inviting seating arrangement which looked comfortable and functional.  The ad seemed appropriate for those wishing stylish decor at a budget friendly price.",3,3,4,3,3,3,2,2,4,4,0,1,0,0,0,0,899.99,0.277806119302773,-0.175722521027389,-0.377347257452546
"86",2,54,"English","",2,5,3,4,1,2,0,0,1,1,5,5,3,2,3,4,4,4,4,3,4,4,"900",5,5,4,4,5,5,6,5,4,5,5,2,5,4,4,4,3,3,4,4,4,3,3,4,4,"Outdoor furniture, a young man dressed casually with sunglasses to depict an outdoor setting. Description of why this furniture is the right choice. My feelings are neutral about this ad. My biggest question is, do the cushions have to be put away (or covered) to protect from rain?",3,4,4,4,3,4,3,4,4,4,0,0,0,0,0,1,900,0.412195520980505,-0.385021697155303,-0.372213848812577
"87",2,45,"English","",2,1,4,5,0,2,0,0,1,1,4,3,5,4,3,2,5,4,3,2,5,7,"800",5,6,7,4,5,6,7,6,4,5,5,3,6,5,6,7,4,5,6,7,4,5,6,7,4,"",5,6,7,4,5,6,7,4,5,6,0,0,0,1,0,0,800,0.117229803168617,0.132859111782638,0.925698096765324
"88",1,44,"English","",2,1,4,5,0,0,1,0,0,1,1,1,5,4,3,2,5,4,3,2,5,2,"450",6,4,7,5,3,6,4,6,4,7,5,3,6,6,4,7,5,3,6,4,7,5,3,6,4,"",6,4,7,5,3,6,4,7,5,3,1,0,0,0,0,0,450,-0.300684373281316,0.311513260308434,1.0298526724445
"89",1,25,"English","",2,1,4,5,1,2,0,0,1,1,4,3,5,4,3,2,5,4,3,2,3,7,"600",6,4,7,5,3,6,4,6,4,7,5,3,6,6,4,7,5,3,6,4,7,5,3,6,4,"",6,4,7,5,3,6,4,7,5,3,0,0,0,0,0,1,600,-0.300684373281316,0.311513260308434,1.0298526724445
"90",1,38,"English","",2,1,4,2,0,1,0,1,0,2,1,3,4,4,4,4,3,4,4,3,4,4,"400",2,4,2,2,4,6,5,4,4,3,4,4,5,2,3,3,4,3,4,4,4,4,4,4,4,"A woman saying she made the right choice about buying wicker furniture.",4,4,4,2,4,4,3,4,5,6,0,0,1,0,0,0,400,-0.379836544081255,0.00365098068263753,-0.290399086055882
"91",2,30,"English","",1,4,3,1,0,0,1,0,0,1,1,2,1,1,1,1,1,1,1,1,7,3,"100",7,7,1,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,4,"stylish opinions, which is a great ad, means you might have a personal stylist, to tell you how you look",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,100,-1.79197873637826,1.58149778078528,1.99527997752656
"92",1,76,"English","",1,5,4,2,0,2,0,0,1,2,1,3,2,2,2,2,3,2,3,2,6,1,"850",2,6,5,2,7,7,7,7,6,5,7,7,6,1,1,1,1,1,1,1,3,1,1,3,2,"A picture of a stylish wicker patio set, makes me want to get more information on the product. very eye pleasing",1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,850,-1.61515805386374,0.463649377665817,2.14013223172009
"93",2,34,"English","",1,1,5,6,0,0,1,0,0,1,1,1,5,5,5,5,5,5,5,5,2,4,"500",4,4,4,4,4,4,4,6,5,3,5,3,4,2,2,2,2,2,2,2,5,2,3,3,4,"A girl in plaid in glasses says to choose the wicker set because it is the right choice because it is her choice.",7,7,2,7,6,4,6,6,7,7,1,0,0,0,0,0,500,0.904388935767468,-1.0989652749812,-0.360613225653948
"94",2,48,"French","25 years",1,3,1,5,0,1,0,1,0,2,1,3,3,2,2,3,3,3,3,2,5,3,"400",6,6,4,4,5,5,5,7,4,6,7,5,6,2,2,2,2,2,2,2,4,2,2,4,3,"In the background a set of wicker seats with light gray leather cushions that look stylish and comfortable. There was a love seat and an armchair with a table I think the top of the table was tempered glass with a white tea set. In front on the right side a woman dressed casual style saying that she chose this brand because it is the right thing to do - something like that. The furniture looks great but I think the ad would look better if the woman was dressed differently, casual but a color maybe that fits better with the environment behind her. She looks a little bit out of place.",2,2,2,2,2,2,2,2,2,2,0,0,1,0,0,0,400,-0.145455936866931,1.25789573362234,0.255054588587221
"95",2,61,"English","",2,1,5,4,1,2,0,0,1,1,3,3,2,2,2,2,2,2,2,2,7,1,"299",7,7,1,7,7,7,7,6,6,6,6,5,7,1,1,1,1,1,1,1,1,1,1,1,1,"An ad for a wicker patio set with very plush comfortable cushions. It says they are weather proof and will certainly serve the buyer for many years. They would certainly be the right choice in a patio set.",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,299,-1.79197873637826,1.58149778078528,1.99527997752656
"96",1,34,"english","",1,3,3,4,0,2,0,0,1,1,2,3,2,2,2,2,2,2,2,2,6,2,"100",6,3,6,5,5,4,3,6,5,5,5,5,5,2,2,1,2,2,2,2,2,2,2,2,4,"ad for wicker furniture.  hard sell as the ""right choice"". overall nice, shows product and gives some info ",2,2,2,2,2,2,2,2,2,2,0,0,0,1,0,0,100,-0.68671283948084,-0.887071049499667,1.52961199445176
"97",1,22,"English","",1,1,6,6,0,2,0,0,1,1,5,5,4,2,2,4,5,4,4,2,1,7,"30",1,2,7,2,2,1,2,5,2,3,3,3,2,7,6,5,6,5,5,6,6,3,3,7,6,"An ad selling a chair for outside with a girl wearing grey shades and a quote from her saying that you made the choice of buying the chair because it is the right choice.",5,5,6,2,4,6,4,4,6,6,0,0,0,1,0,0,30,0.762599779728697,-0.950176946387464,-0.735012800093409
"98",2,28,"english","",2,7,3,5,1,1,0,1,0,1,4,4,3,2,2,3,3,4,3,3,4,4,"300",2,4,2,4,2,3,5,6,4,5,7,4,4,3,2,2,3,1,1,3,4,2,3,4,5,"What I saw was a man's picture layered on top of a background of wicker furniture. The advertisement focuses on style. I like the typography of the ad and the colours. The picture of the man is a little jarring and feels just a little out of place (the slight drop shadow behind him makes the background image look flat). His body language is also not the most natural (his arms seem a bit awkward). Honestly though, I could expect to see this ad in a magazine already (I'm just pointing out any little thing I think could make it more effective).",2,4,3,2,3,3,3,4,3,4,0,0,0,0,1,0,300,0.682080883299208,-0.146312328668384,0.103657216269361
"99",1,19,"english","",1,6,4,3,0,1,0,1,0,1,2,3,2,2,2,2,1,4,3,2,5,5,"50",5,5,2,4,5,5,6,5,3,6,5,3,5,4,5,4,3,3,4,3,6,3,4,6,6,"It certainly caught my interest with that ""all weather"" and ""comfortable"" description. Though I would most probably forget about it if I wasn't in need for buying furnitures.",3,4,5,4,5,2,4,3,5,5,0,0,1,0,0,0,50,0.8573855696948,-0.189853227825651,-0.634080683648158
"100",2,58,"english","",1,2,2,5,1,2,0,0,1,1,1,3,4,4,3,4,4,4,4,3,5,2,"1100",5,6,1,2,5,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,3,2,3,3,3,"It's my choice because its the right choice slogan seen with pic of a man.  An outdoor cushion set with sofa and chair.  I am not sure what relation these things have though?",4,4,5,2,3,5,3,6,7,7,0,0,0,0,0,1,1100,0.23759198776158,-1.12434923691189,-0.387202725131229
"101",2,44,"English ","",2,1,2,5,0,0,1,0,0,1,1,2,4,5,3,4,5,3,4,5,4,3,"300",7,6,5,7,6,5,7,7,6,5,7,6,5,7,6,5,7,6,5,7,6,5,7,6,5,"",7,6,5,7,6,5,7,6,5,7,1,0,0,0,0,0,300,-0.00377446608484471,1.18173073679325,1.71052709286325
"102",2,46,"english","",1,1,4,2,1,0,1,0,0,1,1,3,4,4,3,3,4,4,4,4,6,2,"550",6,4,6,5,4,5,6,5,5,4,4,4,4,3,3,2,2,2,2,4,3,3,2,2,2,"couch, looks like a great set. boy looks too young o be a representitune",2,2,3,3,2,2,2,4,3,1,0,1,0,0,0,0,550,-0.398764407367058,0.175524275832246,0.994762861309187
"103",2,32,"Portuguese","25 years",1,1,6,5,0,1,0,1,0,1,3,2,4,4,4,4,4,4,4,4,5,3,"100",3,4,6,6,3,3,5,5,2,2,5,1,5,5,5,5,5,5,3,4,7,5,5,7,7,"I saw a white woman in sunglasses and a plaid red shirt next to a patio furniture set, in wicker, with blue plush cushions.",4,3,3,3,4,4,3,2,3,3,0,0,1,0,0,0,100,0.501977656962386,-0.944798719048524,-0.536297151473953
"104",2,40,"ENGLISH","",2,1,3,3,0,2,0,0,1,1,5,5,3,2,2,2,3,1,3,2,4,5,"250",5,5,2,4,6,7,7,4,4,3,4,2,5,2,4,4,5,3,3,4,6,3,4,6,4,"OUTDOOR WICKER WITH CUSHION SEATING SET. THE AD WAS OK, IT LOOKED LIKE A NORMAL AD, NOT TOO NOTICEABLE. ",3,4,4,3,5,4,3,3,5,5,0,0,0,1,0,0,250,-0.622787391202368,0.838322793947515,-0.245069622619273
"105",2,21,"French","16",2,6,6,4,1,1,0,1,0,2,1,2,3,5,5,5,5,5,5,5,3,6,"800",7,7,1,1,3,5,6,5,6,2,4,6,4,7,4,4,6,3,3,5,7,7,7,7,4,"There was a guy with nice clothes. I thought the ad was a bit boring, but I loved the design.",3,2,2,2,1,7,4,3,6,7,0,0,0,0,1,0,800,0.727600576221303,0.98362072293482,-0.454266383026544
"106",2,53,"english","",1,2,2,3,1,1,0,1,0,1,4,5,4,4,3,5,4,4,4,3,5,2,"400",6,6,2,5,6,4,6,5,5,4,4,4,6,2,3,2,3,2,2,2,3,2,3,3,4,"its informative but pretty dull,it has no pizazz just factual and no brand name",5,5,6,4,5,4,4,2,3,5,0,0,0,0,1,0,400,-0.650789615960194,0.624354224667096,1.00376229322493
"107",2,31,"english","",2,1,3,2,0,0,1,0,0,1,2,3,4,2,3,4,3,3,3,3,4,4,"750",4,4,4,4,4,3,4,5,5,4,5,4,5,4,4,3,4,4,3,4,4,2,4,4,4,"A girl that looks very enthusiastic about the furniture being advertised",4,4,4,3,4,4,4,4,4,4,1,0,0,0,0,0,750,0.595248285833724,-0.393971507988072,-0.248058935533452
"108",1,51,"English","",1,1,6,6,1,2,0,0,1,1,5,5,4,4,3,4,4,3,4,3,4,3,"1600",3,3,4,3,1,3,4,3,3,2,4,2,2,2,2,2,2,2,4,4,5,2,5,6,5,"It's an ad for outdoor furniture - the person in front looks odd He's not the type of person I would have expected in the ad. I found the message about the comfort of the sofa's compelling for the not the tag line that seemed unrelated to furniture at all",4,3,4,3,6,2,3,3,5,3,0,0,0,0,0,1,1600,1.80185233027761,-0.753747475708558,-2.05612145461361
"109",2,24,"English","n/a",1,6,1,5,1,0,1,0,0,1,1,4,3,2,2,4,4,3,3,2,2,3,"500",5,6,2,5,5,6,6,5,5,4,4,5,6,2,3,2,2,2,2,3,6,3,4,5,2,"In this advertisement I see outdoor seating chairs, the catch phrase in for the chairs in gray, and a person who seems to be a consumer of the product vouching for the validity of the ad's statement. I thought that the ad was alright, but did not really evoke any emotions for me to feel that this product was worth purchasing.",5,4,4,3,4,3,3,3,5,5,0,1,0,0,0,0,500,0.619303604017857,1.06292721065823,-0.505778718060546
"110",2,55,"English","",1,4,3,4,1,2,0,0,1,1,5,5,4,4,4,3,5,4,4,3,2,6,"600",4,4,1,1,2,5,4,3,1,1,1,1,2,4,4,4,5,4,4,4,7,4,4,7,4,"The ad shows a happy-looking guy talking about how he made the right choice in his patio furniture, which is durable and very comfortable with plush cushions.",5,5,5,4,5,4,5,2,6,6,0,0,0,0,0,1,600,1.54945498568728,-0.509949732200693,-0.69724665529197
"111",2,34,"English","",1,3,4,2,1,1,0,1,0,1,5,5,3,4,3,4,3,4,3,3,5,3,"399",2,4,3,2,3,4,5,3,2,2,3,4,5,3,4,3,4,3,3,4,4,3,4,3,4,"A guy is standing in front of a wicker patio set, and he's saying that he made the right choice by buying this set.",4,4,4,2,4,3,3,3,3,3,0,0,0,0,1,0,399,-0.246503985562794,-0.0662720150290174,-0.808742514770284
"112",1,30,"English","",2,6,2,6,0,0,1,0,0,1,1,3,5,5,5,5,5,5,5,5,1,6,"250",3,6,3,3,3,3,4,6,6,6,5,4,4,4,5,3,3,4,3,3,4,4,4,3,2,"Girl says something a little to generic to be convincing ""It is the right choice"". Does not substantiate claim. Subject matter is wicker furniture on a patio. Advertising is aimed at selling the entire furniture set. Girl seems to be the focal point, the wicker chair serves as a backdrop.",6,4,5,3,2,4,5,4,6,7,1,0,0,0,0,0,250,0.916855913788218,-1.32712336674372,-0.692425187521965
"113",2,46,"english","",1,1,3,2,1,0,1,0,0,1,2,4,2,2,2,2,3,2,2,1,6,1,"699",1,7,4,1,7,7,7,5,2,4,4,1,7,1,2,1,1,1,1,1,3,1,2,6,4,"A set of wicker furniture with plush comfie cushions. A pic of man saying ""its my choice because it's the right choice. / It's a good ad, but needs a price to be shown",1,1,2,1,1,1,1,1,1,2,0,1,0,0,0,0,699,-1.63861640946201,0.637273707212394,0.778481520509398
"114",2,35,"English","",2,1,5,5,0,0,1,0,0,1,1,4,4,4,4,4,5,3,4,4,3,4,"700",3,3,3,1,4,5,6,4,3,3,4,2,5,4,3,4,3,3,3,3,5,3,4,4,4,"ad for wicker furniture, woman with glasses smiling, arms crossed, a wicker seating set in background",6,5,5,5,6,6,5,5,5,6,1,0,0,0,0,0,700,0.946605509763511,-0.0386650311126179,-1.3794868464392
"115",2,46,"english","",1,2,1,2,1,1,0,1,0,1,4,4,2,1,1,2,2,2,2,2,6,2,"1399",1,7,1,1,6,6,7,3,4,3,3,3,5,1,1,2,2,2,1,2,2,2,2,2,2,"a outdoor wicker set with a love seat and a chair with grey cushions on it. A young man with sunglasses on and a red checkered shirt is standing there.",3,3,3,2,4,3,3,1,3,3,0,0,0,0,1,0,1399,-1.41895650490006,0.342278076818235,-0.035343464242415
"116",1,38,"Chinese (Cantonese)","27",2,1,2,5,0,2,0,0,1,2,2,2,2,3,2,2,3,3,3,2,4,4,"280",4,4,4,4,5,5,5,5,4,4,5,5,5,3,3,3,3,3,3,3,4,4,4,3,4,"An ad for furniture, that would suit any taste. The furniture have a light color base and have plush pillows for comfort.",4,4,4,3,3,3,3,3,4,3,0,0,0,1,0,0,280,-0.189315621431675,-0.446796307222981,-0.157054700789172
"117",1,36,"English","",2,1,4,5,1,1,0,1,0,1,3,2,3,3,2,3,2,2,2,2,6,2,"250",6,6,3,6,7,7,7,4,4,4,4,4,6,1,1,1,1,1,1,1,1,1,1,1,4,"Having ""It's my choice because it's the right choice"" is very interesting as a slogan. I find it to focus on the customer right off the bat. They showcase the wicker furniture very well. Nice ad overall. ",1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,250,-1.58207964730362,1.33901902310468,0.710515323505091
